A,B,C,D,E,F
33,341.97,28,534.3,-17.4897,-39.2824
11,122.27,0,2.34,-49.6273,-6.09346
33,341.97,21,401.5,7.60169,24.8639
15,162.37,36,686.06,-8.48048,-5.29919
1,22.41,31,591.48,-84.763,-45.0692
18,192.54,3,59.15,-62.5193,-64.7405
29,302.38,23,439.26,85.0967,29.3011
3,42.33,34,648.22,60.6979,65.0904
23,242.33,5,97.08,38.9712,22.5
18,192.23,11,211.47,-8.42649,-7.07066
33,342.44,4,78.45,38.1622,23.8464
1,22.04,20,382.34,-23.8685,-2.50868
3,42.49,27,515.46,70.8789,30.0863
21,222.29,4,78.43,-77.6657,-56.4273
33,342.51,7,135.34,-30.1921,-19.607
12,132.26,36,686.46,-37.0944,-59.3633
16,172.08,20,382.13,8.76744,17.9759
39,402.2,33,629.55,-27.7913,-3.41234
18,192.11,34,648.39,88.8652,23.8113
3,42.43,5,97.39,-20.6902,-30.6744
3,42.04,31,591.56,55.455,7.79369
4,53.01,4,78.54,-65.9821,-11.6344
18,192.29,0,2.48,-44.9166,-35.0927
13,142.18,39,743.16,77.6657,56.4273
22,232.56,9,173.16,82.2143,45.5721
0,12.54,4,78,38.3345,28.8871
36,372.01,37,705.3,-22.1171,-15.4866
30,312.48,14,268.47,-39.0102,-24.3763
15,162.24,31,591.51,52.1114,98.0071
6,72.5,18,344.24,21.824,23.4033
32,332.01,1,21.13,61.13,63.3019
28,292.13,6,116.34,-42.4411,-40.9848
7,82.08,3,59.51,45.559,58.3128
31,322.06,37,705.39,93.5395,21.5953
9,102.19,1,21.17,-19.105,-47.2864
32,332.3,9,174.43,-77.2737,-16.425
7,82.07,6,116.22,39.8583,24.9062
37,382.44,31,591.37,-36.3241,-46.4926
17,182.41,18,344.03,17.9649,6.18579
14,152.17,8,154.52,16.9048,36.2523
20,212.42,3,59.47,7.07067,8.42648
19,202.27,27,515.02,8.24062,13.7147
25,262.3,33,629.45,-49.2045,-56.6032
37,382.11,11,211.12,-33.841,-48.3299
22,232.52,10,192.47,-54.3728,-42.4806
0,12.08,28,534.33,11.8761,5.28757
21,222.1,9,173.25,11.0819,14.1842
14,152.32,22,420.25,-13.9058,-42.7975
34,352.09,2,40.02,79.2215,11.1338
7,82.39,18,344.07,9.70821,7.05342
33,342.22,13,249.38,-73.7529,-28.311
32,332.51,11,211.18,64.1079,68.7472
31,322.45,17,325.3,-51.4939,-7.237
21,222,37,705.4,-16.961,-10.5984
18,192.25,11,211.33,32.5724,19.5714
38,392,21,401,3.95075,0.625737
1,22.53,28,534.3,27.7328,8.47877
15,162.17,22,420.01,-77.2963,-37.6999
9,102.44,26,496.44,-82.1897,-53.3746
16,171.97,18,344.45,-8.77625,-8.18398
16,172.35,31,591.26,-6.4984,-17.8542
23,242.12,23,439.2,10.5984,16.961
17,182.12,25,477.16,37.0131,83.1326
22,231.98,18,343.97,-79.8636,-60.1815
11,122.33,32,610.46,-56.5087,-30.0462
18,192.09,31,590.98,46.7962,24.882
17,182.33,20,382.29,25.3937,17.7809
25,262.45,27,515.2,73.6404,31.2585
34,352.31,19,363.42,-20.1216,-70.1721
17,182.35,28,534.19,38.3,69.0949
35,362.14,21,401.23,-7.52575,-19.6052
11,122.05,23,439.28,-98.1627,-19.0809
11,122.55,15,287.07,0.978148,0.207912
9,102.24,13,249.17,-72.0854,-50.4747
32,332.39,38,724.17,-55.5829,-51.8318
28,292.36,7,135.06,34.3035,45.5222
16,172.46,38,724.36,29.0781,43.1099
25,262.53,9,173.49,-23.188,-24.866
11,122.52,29,553.02,-1.43348,-3.73432
25,262.45,16,306.13,-32.7661,-22.943
26,271.97,11,211.5,-49.8097,-4.35778
24,252.35,9,172.99,-10.4007,-3.58125
13,142.23,30,572.11,-61.1315,-53.1407
36,372.19,4,78.15,95.6267,25.6231
12,132.34,20,382.45,-59.6974,-30.4173
20,212.16,24,458.2,-20.0687,-52.2805
23,242.17,4,78.02,-16.168,-5.25328
19,202.25,0,2.46,-18.3032,-41.1095
17,182,33,629.18,15.3589,38.0145
33,342.3,10,192.42,28.5788,16.5
29,302.3,6,116.31,-35.4639,-38.0304
0,12.09,23,439.02,-49.9507,-66.2867
18,192.13,18,344.47,64.9057,72.085
21,222.23,37,705.44,52.9598,70.2799
0,12.5,4,78.19,-29.4929,-28.481
29,302.37,35,667.12,-67.769,-52.9468
37,382.12,35,667.29,-6.99696,-3.87847
30,312.27,32,610.06,12.4964,3.58328
34,352.51,28,534.08,-32.7082,-21.2409
2,32.5,21,401.15,-82.8636,-42.2211
39,402.13,33,629.31,81.1863,17.2567
38,392.3,14,268.02,-30.0009,-18.0263
30,312.05,9,173.19,-49.5622,-76.319
4,52.4,16,306.41,-27.032,-18.928
32,332.38,3,59.5,70.309,9.88128
38,392.27,39,743.28,-7.9488,-12.7207
30,312.12,36,686.22,63.0409,49.2529
31,322.27,21,401.09,-28.6703,-20.0752
34,351.98,26,496.4,-12.9904,-7.49999
25,262.34,26,495.97,20.398,8.24134
23,242.37,39,743.4,-53.6231,-43.4231
38,391.99,39,743.51,63.0922,47.5434
39,402.19,14,268.38,-46.7571,-45.1528
3,41.98,12,230.18,62.4242,56.2069
26,272.06,6,116.41,-48.6261,-50.3538
1,22.5,1,21.5,-24.6255,-67.6578
37,382.23,39,743.46,-7.72741,-2.07055
1,22.41,12,230.52,-69.5388,-28.0955
7,81.97,29,553.36,19.0526,11
29,302.05,7,135.04,16.378,50.406
28,292.23,2,40.19,-77.0356,-25.0304
7,82.26,1,21.15,-10.6658,-19.2416
8,92.48,10,191.97,-79.7165,-49.8124
20,212.3,7,134.98,-9.64735,-33.6441
6,72.11,30,572.3,-51.0955,-29.5
2,32.47,33,629.54,-86.6631,-15.281
20,212.28,6,116.18,-21.1438,-55.0812
27,282.06,35,667.46,-30.7324,-24.0108
16,171.98,7,135.41,22.2189,57.882
25,262.38,38,724.04,-51.9081,-14.8844
22,232.26,13,249.25,16.7125,19.9171
13,142.15,28,534.56,-57.2036,-38.5843
15,162.08,30,571.99,-54.464,-83.867
35,362.14,5,97.51,92.6461,8.10548
18,192.15,1,21.25,-9.37171,-32.6829
0,11.97,8,154.3,66.7506,12.975
31,322.5,16,306.48,-27.2824,-6.29862
33,342.16,19,363,-7.72801,-17.3574
27,282.26,20,382.1,-31.8416,-78.8106
33,342.43,32,610.43,13.523,3.62346
17,182.43,10,192.15,88.4361,25.3586
24,252.4,24,458.1,42.0231,18.7099
1,22.16,8,154.29,-11.594,-12.433
15,162.27,23,439.53,-4.60252,-1.95365
9,102.45,16,306.3,-51.4048,-53.2311
3,42.41,29,553.03,-70.1059,-34.1929
9,102.35,36,686.1,-51.5231,-57.2221
2,32.53,2,40,-19.7012,-25.2163
5,62.01,28,534.05,4.49529,11.1262
18,191.98,4,78.32,-62.1598,-19.0041
38,392.47,18,344.44,47.9283,73.803
1,22.54,23,439.26,78.0022,46.8684
12,132.02,23,439.04,4.23936,6.78438
4,52.22,39,743.09,-49.4337,-24.1104
28,292.21,33,629.21,17.7809,25.3937
6,72.06,2,40.42,35.7929,80.392
9,101.98,20,382.49,37.6243,60.2114
39,402.32,29,553.51,67.9811,45.8538
17,182.04,27,515.26,27.6212,14.0737
0,12.28,8,154.42,74.5891,7.83963
37,382.31,20,382.37,13.1985,13.6674
31,322.37,14,268.4,87.3914,31.8078
7,82.21,1,21.53,-22.9813,-19.2836
37,382.16,2,40.21,42.7938,52.8459
9,102.18,37,705.06,40.6156,21.5957
21,222.21,27,515.5,-33.1382,-14.0663
34,352.44,10,191.98,-18.7304,-46.3592
26,272.06,19,363.36,28.4942,58.4216
35,362.52,1,21.06,-2.48075,-8.65135
27,282.17,10,192.22,87.3266,21.773
30,312.2,5,97.26,15.3802,4.41019
19,202.4,20,382.06,-25.4559,-25.4558
25,262.47,0,2.33,25.8578,33.0964
38,392.06,24,458.56,-33.9367,-61.2233
0,12.35,8,154.28,-16.9353,-1.48165
32,332.02,33,629.34,53.7945,4.70641
10,112.22,13,249.27,41.207,84.4866
